Time Taken(ms), FPS
0.8012, 210.9704
0.7321, 212.4188
0.7827, 213.356
0.6774, 218.219
0.7276, 219.5647
0.6628, 210.6185
0.7794, 213.5507
0.7747, 214.154
0.6842, 213.9961
0.7028, 218.7406
0.7168, 223.263
0.7972, 223.4058
0.6984, 227.5554
0.7409, 227.4371
0.9437, 225.6787
0.7312, 227.7453
0.7728, 230.7682
0.7487, 229.2738
0.7628, 229.5469
0.7516, 231.9385
0.6979, 233.484
0.8234, 233.9562
0.8235, 233.2964
0.7057, 231.7903
0.6943, 235.8263
0.7069, 238.8266
0.9682, 237.3321
0.7741, 235.5705
0.7971, 230.8556
0.7609, 233.3907
0.8431, 234.9676
1.0284, 238.1267
0.836, 238.3625
0.8187, 236.0104
0.8527, 238.5336
0.8528, 228.4689
0.879, 230.9332
0.7105, 234.6751
0.7336, 233.2052
0.8122, 235.3366
0.7478, 236.8271
0.7692, 238.1219
0.7092, 240.1902
0.767, 241.6077
0.7657, 243.3874
0.7803, 244.5892
0.7174, 233.5745
0.7475, 222.241
0.6834, 225.7918
0.6871, 228.7601
0.7231, 231.5043
0.6769, 234.4289
0.7892, 238.6249
0.6687, 239.9952
0.7375, 243.3348
0.6913, 244.969
0.7904, 246.2567
0.6758, 249.2719
0.6837, 251.1853
0.6704, 252.5576
0.717, 254.1294
0.9464, 249.0714
0.7344, 232.384
0.6709, 235.6135
0.7355, 227.3717
0.7468, 228.2737
0.6837, 222.4567
0.7007, 222.6779
0.7608, 222.4634
0.6929, 222.877
0.6932, 222.1002
0.7237, 222.392
0.6986, 220.7979
0.8026, 219.6125
0.7274, 219.9936
0.7086, 220.0884
0.6767, 220.1069
0.8753, 218.0867
0.7722, 217.1237
0.7825, 216.6471
0.8517, 218.67
0.7866, 198.6428
0.7666, 182.3804
0.872, 184.5423
0.7645, 188.156
0.6729, 184.7621
0.7887, 186.9988
0.702, 187.8218
0.7391, 188.965
0.6595, 193.1592
0.6935, 192.7187
0.7529, 196.0446
0.6754, 198.8925
0.6877, 192.9981
0.7041, 198.7061
0.6776, 200.4096
0.6831, 203.3188
0.7253, 205.1082
0.6766, 210.21
0.7565, 213.1504
0.7098, 216.3593
0.6682, 216.2655
0.726, 217.4673
0.8079, 220.4876
0.6902, 222.601
0.6737, 226.5083
0.6927, 225.326
0.7054, 229.9706
0.9298, 232.0124
1.1108, 233.7485
0.664, 234.8911
0.6528, 238.2005
0.6549, 241.8462
0.6649, 243.7715
0.695, 245.4655
0.6704, 246.4217
0.7047, 249.0043
0.6761, 249.5891
0.7399, 247.9392
0.6943, 250.4275
0.6699, 251.4999
0.6641, 253.1671
0.6771, 253.1957
0.7353, 254.836
0.7718, 249.4821
1.0678, 251.7641
0.9198, 240.4074
1.0165, 237.5542
0.9227, 239.0853
0.7874, 231.2188
0.802, 230.5966
0.8305, 233.1247
0.8133, 236.4673
